geno,plot,cover,Stover,yield.2014,spatial
34A89,104,B,LS,8.95,19
A632 X W438,104,B,LS,5.51,22
A641Ht X Mo17,104,B,LS,4.48,17
B73 X Mo17,104,B,LS,3.1,14
F2F665,104,B,LS,7.58,15
M14 X W32 X W182B X W182D,104,B,LS,2.52,24
P0448R,104,B,LS,4.51,20
W64A X A619,104,B,LS,2.46,18
W64Abm3 X A619bm3,104,B,LS,4.96,16
W9 X W13R X WR3 W26,104,B,LS,0.81,13
Wf9 X A635 X M14 X C123,104,B,LS,4.94,23
WM13R X WR3 X W23 X W26,104,B,LS,6.33,21
34A89,104,C,LS,8.39,27
A632 X W438,104,C,LS,1.07,25
A641Ht X Mo17,104,C,LS,0.61,35
B73 X Mo17,104,C,LS,3.14,26
F2F665,104,C,LS,4.12,30
M14 X W32 X W182B X W182D,104,C,LS,0.83,36
P0448R,104,C,LS,3.36,31
W64A X A619,104,C,LS,1.16,29
W64Abm3 X A619bm3,104,C,LS,2.66,33
W9 X W13R X WR3 W26,104,C,LS,2,32
Wf9 X A635 X M14 X C123,104,C,LS,2.12,28
WM13R X WR3 X W23 X W26,104,C,LS,0.94,34
34A89,104,R,LS,9.59,3
A632 X W438,104,R,LS,5.16,1
A641Ht X Mo17,104,R,LS,2.01,6
B73 X Mo17,104,R,LS,4.95,8
F2F665,104,R,LS,7.93,4
M14 X W32 X W182B X W182D,104,R,LS,5.71,9
P0448R,104,R,LS,2.67,10
W64A X A619,104,R,LS,4.25,7
W64Abm3 X A619bm3,104,R,LS,0.81,2
W9 X W13R X WR3 W26,104,R,LS,1.33,5
Wf9 X A635 X M14 X C123,104,R,LS,2.15,12
WM13R X WR3 X W23 X W26,104,R,LS,1.42,11
34A89,108,B,RS,6.01,34
A632 X W438,108,B,RS,5.82,28
A641Ht X Mo17,108,B,RS,3.47,33
B73 X Mo17,108,B,RS,1.41,36
F2F665,108,B,RS,6.26,30
M14 X W32 X W182B X W182D,108,B,RS,4.06,32
P0448R,108,B,RS,1.4,35
W64A X A619,108,B,RS,3.07,29
W64Abm3 X A619bm3,108,B,RS,1.52,25
W9 X W13R X WR3 W26,108,B,RS,3.85,26
Wf9 X A635 X M14 X C123,108,B,RS,4.66,27
WM13R X WR3 X W23 X W26,108,B,RS,1.22,31
34A89,108,C,RS,6.87,21
A632 X W438,108,C,RS,4.92,23
A641Ht X Mo17,108,C,RS,6.1,18
B73 X Mo17,108,C,RS,4.79,22
F2F665,108,C,RS,8.5,14
M14 X W32 X W182B X W182D,108,C,RS,4.19,16
P0448R,108,C,RS,6.55,20
W64A X A619,108,C,RS,6.88,13
W64Abm3 X A619bm3,108,C,RS,3.24,15
W9 X W13R X WR3 W26,108,C,RS,4.49,24
Wf9 X A635 X M14 X C123,108,C,RS,3.78,17
WM13R X WR3 X W23 X W26,108,C,RS,3.03,19
34A89,108,R,RS,8.85,5
A632 X W438,108,R,RS,6.01,2
A641Ht X Mo17,108,R,RS,7.43,6
B73 X Mo17,108,R,RS,3.64,11
F2F665,108,R,RS,3.52,10
M14 X W32 X W182B X W182D,108,R,RS,6.43,7
P0448R,108,R,RS,5.97,8
W64A X A619,108,R,RS,4.65,1
W64Abm3 X A619bm3,108,R,RS,3.5,9
W9 X W13R X WR3 W26,108,R,RS,3.55,4
Wf9 X A635 X M14 X C123,108,R,RS,4.89,12
WM13R X WR3 X W23 X W26,108,R,RS,3.78,3
34A89,202,B,LS,6.8,3
A632 X W438,202,B,LS,3.15,12
A641Ht X Mo17,202,B,LS,6.9,8
B73 X Mo17,202,B,LS,3.58,4
F2F665,202,B,LS,6.79,7
M14 X W32 X W182B X W182D,202,B,LS,1.02,1
P0448R,202,B,LS,6.1,11
W64A X A619,202,B,LS,3.72,2
W64Abm3 X A619bm3,202,B,LS,1.8,5
W9 X W13R X WR3 W26,202,B,LS,5.82,9
