spatial,plot,cover,yield.2015,
1,108,R,16.77,
2,108,R,16.77,
3,108,R,16.77,
4,108,R,16.77,
5,108,R,16.77,
6,108,R,16.77,
7,108,R,16.75,
8,108,R,16.75,
9,108,R,16.75,
10,108,R,16.75,
11,108,R,16.75,
12,108,R,16.75,
13,108,B,7.47,
14,108,B,7.47,
15,108,B,7.47,
16,108,B,7.47,
17,108,B,7.47,
18,108,B,7.47,
19,108,B,7.21,
20,108,B,7.21,
21,108,B,7.21,
22,108,B,7.21,
23,108,B,7.21,
24,108,B,7.21,
25,108,C,16.41,
26,108,C,16.41,
27,108,C,16.41,
28,108,C,16.41,
29,108,C,16.41,
30,108,C,16.41,
31,108,C,15.04,
32,108,C,15.04,
33,108,C,15.04,
34,108,C,15.04,
35,108,C,15.04,
36,108,C,15.04,
1,205,B,11.88,
2,205,B,11.88,
3,205,B,11.88,
4,205,B,11.88,
5,205,B,11.88,
6,205,B,11.88,
7,205,B,12.86,
8,205,B,12.86,
9,205,B,12.86,
10,205,B,12.86,
11,205,B,12.86,
12,205,B,12.86,
13,205,C,16.17,
14,205,C,16.17,
15,205,C,16.17,
16,205,C,16.17,
17,205,C,16.17,
18,205,C,16.17,
19,205,C,16.42,
20,205,C,16.42,
21,205,C,16.42,
22,205,C,16.42,
23,205,C,16.42,
24,205,C,16.42,
25,205,R,20.11,
26,205,R,20.11,
27,205,R,20.11,
28,205,R,20.11,
29,205,R,20.11,
30,205,R,20.11,
31,205,R,19.04,
32,205,R,19.04,
33,205,R,19.04,
34,205,R,19.04,
35,205,R,19.04,
36,205,R,19.04,
1,305,B,13.30,
2,305,B,13.30,
3,305,B,13.30,
4,305,B,13.30,
5,305,B,13.30,
6,305,B,13.30,
7,305,B,14.47,
8,305,B,14.47,
9,305,B,14.47,
10,305,B,14.47,
11,305,B,14.47,
12,305,B,14.47,
13,305,C,19.65,
14,305,C,19.65,
15,305,C,19.65,
16,305,C,19.65,
17,305,C,19.65,
18,305,C,19.65,
19,305,C,19.33,
20,305,C,19.33,
21,305,C,19.33,
22,305,C,19.33,
23,305,C,19.33,
24,305,C,19.33,
25,305,R,17.49,
26,305,R,17.49,
27,305,R,17.49,
28,305,R,17.49,
29,305,R,17.49,
30,305,R,17.49,
31,305,R,19.67,
32,305,R,19.67,
33,305,R,19.67,
34,305,R,19.67,
35,305,R,19.67,
36,305,R,19.67,
1,410,R,17.78,
2,410,R,17.78,
3,410,R,17.78,
4,410,R,17.78,
5,410,R,17.78,
6,410,R,17.78,
7,410,R,18.63,
8,410,R,18.63,
9,410,R,18.63,
10,410,R,18.63,
11,410,R,18.63,
12,410,R,18.63,
13,410,B,17.93,
14,410,B,17.93,
15,410,B,17.93,
16,410,B,17.93,
17,410,B,17.93,
18,410,B,17.93,
19,410,B,16.34,
20,410,B,16.34,
21,410,B,16.34,
22,410,B,16.34,
23,410,B,16.34,
24,410,B,16.34,
25,410,C,18.99,
26,410,C,18.99,
27,410,C,18.99,
28,410,C,18.99,
29,410,C,18.99,
30,410,C,18.99,
31,410,C,39.08,
32,410,C,39.08,
33,410,C,39.08,
34,410,C,39.08,
35,410,C,39.08,
36,410,C,39.08,
1,104,R,14.98,
2,104,R,13.33,
3,104,R,13.41,
4,104,R,14.59,
5,104,R,14.77,
6,104,R,14.52,
7,104,R,14.98,
8,104,R,13.33,
